RedFighter,BlueFighter,Date,Location,Country,WeightClass,Gender,NumberOfRounds,TitleBout,Winner,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RMatchWCRank,BMatchWCRank,RPFPRank,BPFPRank,RedStanceEncoded,BlueStanceEncoded,Target
Georges St-Pierre,Dan Hardy,2010-03-27,"Newark, New Jersey, USA", USA,Welterweight,MALE,5,1,Red,-650.0,550.0,15.3846,550.0,0,6,0,48.2,0.577,1.0667,3.4,0.751,6,2,38,8,0,1,5,5,2,0,13,Orthodox,180.34,193.04,185,0,4,0,36.25,0.413,0.0,0.5,0.313,4,0,10,0,0,2,1,1,0,0,4,Orthodox,182.88,187.96,170,7.0,9.0,6.0,10.0,0,0,1.0
Frank Mir,Shane Carwin,2010-03-27,"Newark, New Jersey, USA", USA,Heavyweight,MALE,5,1,Blue,-150.0,140.0,66.6667,140.0,0,1,0,10.3333,0.52,1.2667,0.8,0.351,4,4,20,3,0,0,1,2,7,0,11,Southpaw,190.5,200.66,264,0,3,0,7.3333,0.437,0.0,0.3333,0.167,3,0,3,0,0,0,0,3,0,0,3,Orthodox,187.96,203.2,265,7.0,9.0,6.0,10.0,1,0,0.0
Kurt Pellegrino,Fabricio Camoes,2010-03-27,"Newark, New Jersey, USA", USA,Lightweight,MALE,3,0,Red,-210.0,190.0,47.619,190.0,0,3,0,22.4444,0.477,0.5556,2.1111,0.606,3,3,20,0,0,0,2,1,3,0,6,Orthodox,172.72,177.8,155,1,0,0,22.0,0.3,2.0,5.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,7.0,9.0,6.0,10.0,0,0,1.0
Ben Saunders,Jon Fitch,2010-03-27,"Newark, New Jersey, USA", USA,Welterweight,MALE,3,0,Blue,295.0,-325.0,295.0,30.7692,0,1,0,28.0,0.668,1.2,0.2,0.2,3,1,9,0,0,0,1,2,1,0,4,Orthodox,187.96,195.58,170,0,3,0,32.8333,0.5,0.9167,3.0833,0.561,8,1,34,1,0,1,6,1,3,0,11,Orthodox,182.88,193.04,170,7.0,9.0,6.0,10.0,0,0,0.0
Jim Miller,Mark Bocek,2010-03-27,"Newark, New Jersey, USA", USA,Lightweight,MALE,3,0,Red,-320.0,290.0,31.25,290.0,0,3,0,29.0,0.37,1.8333,2.5,0.39,3,1,15,0,0,0,2,1,2,0,5,Southpaw,172.72,180.34,155,0,3,0,16.8333,0.362,1.3333,2.3333,0.54,3,2,12,0,0,0,1,0,3,0,4,Orthodox,172.72,190.5,155,7.0,9.0,6.0,10.0,1,0,1.0
Nate Diaz,Rory Markham,2010-03-27,"Newark, New Jersey, USA", USA,Welterweight,MALE,3,0,Red,-235.0,195.0,42.5532,195.0,1,0,0,23.0,0.409,1.4444,1.3333,0.476,5,3,20,1,0,1,0,0,5,0,6,Southpaw,182.88,193.04,170,1,0,0,4.0,0.275,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,182.88,180.34,170,7.0,9.0,6.0,10.0,1,0,1.0
Ricardo Almeida,Matt Brown,2010-03-27,"Newark, New Jersey, USA", USA,Welterweight,MALE,3,0,Red,-185.0,160.0,54.0541,160.0,0,2,0,19.1429,0.59,1.4286,2.8571,0.493,2,3,16,0,0,0,2,0,2,0,4,Orthodox,182.88,187.96,170,0,3,0,32.8,0.622,1.8,0.4,0.3,3,1,11,0,0,0,0,3,1,0,4,Orthodox,182.88,190.5,170,7.0,9.0,6.0,10.0,0,0,1.0
Rousimar Palhares,Tomasz Drwal,2010-03-27,"Newark, New Jersey, USA", USA,Middleweight,MALE,3,0,Red,-220.0,180.0,45.4545,180.0,0,2,0,12.75,0.338,1.75,2.75,0.58,2,1,9,0,0,0,1,0,2,0,3,Orthodox,172.72,180.34,170,0,3,0,28.75,0.455,0.25,2.25,0.68,3,1,6,0,0,0,0,2,1,0,3,Orthodox,185.42,193.04,205,7.0,9.0,6.0,10.0,0,0,1.0
Rodney Wallace,Jared Hamman,2010-03-27,"Newark, New Jersey, USA", USA,Light Heavyweight,MALE,3,0,Blue,-160.0,140.0,62.5,140.0,1,0,0,15.0,0.42,2.0,7.0,0.46,0,1,3,0,0,0,0,0,0,0,0,Switch,175.26,182.88,205,1,0,0,6.0,0.35,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,185,7.0,9.0,6.0,10.0,2,0,0.0
Matthew Riddle,Greg Soto,2010-03-27,"Newark, New Jersey, USA", USA,Welterweight,MALE,3,0,Red,-230.0,190.0,43.4783,190.0,1,0,0,45.75,0.638,1.0,3.75,0.503,3,1,12,0,0,0,3,0,0,0,3,Southpaw,185.42,187.96,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,7.0,9.0,6.0,10.0,1,0,1.0
