RedFighter,BlueFighter,Date,Location,Country,WeightClass,Gender,NumberOfRounds,TitleBout,Winner,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RMatchWCRank,BMatchWCRank,RPFPRank,BPFPRank,RedStanceEncoded,BlueStanceEncoded,Target
Juliana Lima,Joanna Jedrzejczyk,2014-07-26,"San Jose, California, USA", USA,Women's Strawweight,FEMALE,3,0,Blue,285.0,-315.0,285.0,31.746,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,115,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,125,7.0,9.0,6.0,10.0,0,0,0.0
Hernani Perpetuo,Tim Means,2014-07-26,"San Jose, California, USA", USA,Welterweight,MALE,3,0,Blue,167.0,-179.0,167.0,55.8659,1,0,0,21.0,0.22,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,170,3,0,0,44.0,0.452,0.2,0.6,0.15,2,3,13,0,0,0,1,1,0,0,2,Orthodox,187.96,190.5,170,7.0,9.0,6.0,10.0,0,0,0.0
Akbarh Arreola,Tiago Trator,2014-07-26,"San Jose, California, USA", USA,Lightweight,MALE,3,0,Blue,275.0,-305.0,275.0,32.7869,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,155,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,145,7.0,9.0,6.0,10.0,1,0,0.0
Andreas Stahl,Gilbert Burns,2014-07-26,"San Jose, California, USA", USA,Welterweight,MALE,3,0,Blue,135.0,-145.0,135.0,68.9655,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,155,7.0,9.0,6.0,10.0,0,0,0.0
Steven Siler,Noad Lahat,2014-07-26,"San Jose, California, USA", USA,Featherweight,MALE,3,0,Blue,-210.0,190.0,47.619,190.0,2,0,0,33.75,0.446,1.25,0.375,0.093,3,3,18,0,0,0,3,1,1,0,5,Orthodox,180.34,177.8,145,1,0,0,11.0,0.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,145,7.0,9.0,6.0,10.0,0,0,0.0
Kyle Kingsbury,Patrick Cummins,2014-07-26,"San Jose, California, USA", USA,Light Heavyweight,MALE,3,0,Blue,205.0,-225.0,205.0,44.4444,3,0,0,35.25,0.464,0.0,2.25,0.203,4,4,19,0,0,1,2,1,0,0,4,Orthodox,193.04,193.04,205,0,1,0,20.0,0.47,0.5,1.5,0.3,1,1,3,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,205,7.0,9.0,6.0,10.0,0,0,0.0
Gray Maynard,Ross Pearson,2014-08-16,"Bangor, Maine, USA", USA,Lightweight,MALE,3,0,Blue,150.0,-160.0,150.0,62.5,2,0,0,27.5714,0.368,0.6429,2.2857,0.466,8,5,40,2,0,3,5,1,0,0,9,Orthodox,175.26,177.8,155,2,0,0,46.1667,0.428,0.0,0.8333,0.417,3,5,30,1,0,0,4,2,0,1,7,Orthodox,172.72,175.26,155,12.0,9.0,6.0,10.0,0,0,0.0
Tim Boetsch,Brad Tavares,2014-08-16,"Bangor, Maine, USA", USA,Middleweight,MALE,3,0,Red,285.0,-315.0,285.0,31.746,1,0,0,29.8571,0.511,0.7857,1.2857,0.196,4,6,34,0,0,2,3,3,0,0,8,Orthodox,182.88,187.96,185,1,0,0,43.0,0.427,0.0,1.4444,0.227,5,2,25,0,0,1,5,1,0,0,7,Orthodox,185.42,187.96,185,14.0,9.0,6.0,10.0,0,0,1.0
Seth Baczynski,Alan Jouban,2014-08-16,"Bangor, Maine, USA", USA,Welterweight,MALE,3,0,Blue,-155.0,145.0,64.5161,145.0,1,0,0,31.6667,0.331,0.5556,0.5556,0.074,4,4,21,0,0,1,1,1,2,0,5,Orthodox,190.5,187.96,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,170,7.0,9.0,6.0,10.0,0,1,0.0
Shawn Jordan,Jack May,2014-08-16,"Bangor, Maine, USA", USA,Heavyweight,MALE,3,0,Red,-200.0,185.0,50.0,185.0,2,0,0,24.6667,0.46,0.0,0.3333,0.167,2,3,10,0,0,0,0,3,0,0,3,Southpaw,182.88,190.5,260,1,0,0,5.0,0.83,0.0,1.0,0.33,0,1,1,0,0,0,0,0,0,0,0,Switch,203.2,200.66,255,7.0,9.0,6.0,10.0,1,2,1.0
Ryan Bader,Ovince Saint Preux,2014-08-16,"Bangor, Maine, USA", USA,Light Heavyweight,MALE,5,0,Red,-185.0,170.0,54.0541,170.0,0,2,0,26.8571,0.41,0.2857,2.1429,0.284,5,4,30,1,0,0,6,3,1,0,10,Orthodox,187.96,187.96,205,0,4,0,17.0,0.625,0.5,0.75,0.375,4,0,7,0,1,0,0,2,1,0,4,Southpaw,190.5,203.2,205,8.0,10.0,6.0,10.0,0,1,1.0
Jussier Formiga,Zach Makovsky,2014-08-16,"Bangor, Maine, USA", USA,Flyweight,MALE,3,0,Red,290.0,-320.0,290.0,31.25,0,1,0,8.5,0.335,0.25,1.25,0.188,1,2,7,0,0,0,1,0,1,0,2,Orthodox,165.1,170.18,125,0,2,0,30.0,0.415,0.5,5.5,0.53,2,0,6,0,0,0,2,0,0,0,2,Southpaw,162.56,162.56,125,6.0,9.0,6.0,10.0,0,1,1.0
Sara Mcmann,Lauren Murphy,2014-08-16,"Bangor, Maine, USA", USA,Women's Bantamweight,FEMALE,3,0,Red,-570.0,480.0,17.5439,480.0,1,0,0,10.5,0.765,0.0,1.0,0.5,1,1,2,1,0,0,0,1,0,0,1,Orthodox,167.64,167.64,135,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,125,4.0,9.0,6.0,10.0,0,0,1.0
Tom Watson,Sam Alvey,2014-08-16,"Bangor, Maine, USA", USA,Middleweight,MALE,3,0,Red,-125.0,115.0,80.0,115.0,2,0,0,51.0,0.468,0.0,0.0,0.0,1,3,11,0,0,0,0,1,0,0,1,Orthodox,185.42,185.42,185,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,187.96,190.5,205,7.0,9.0,6.0,10.0,0,1,1.0
Nolan Ticman,Frankie Saenz,2014-08-16,"Bangor, Maine, USA", USA,Bantamweight,MALE,3,0,Blue,110.0,-120.0,110.0,83.3333,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,125,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,135,7.0,9.0,6.0,10.0,0,0,0.0
Thiago Tavares,Robert Peralta,2014-08-16,"Bangor, Maine, USA", USA,Featherweight,MALE,3,0,Red,-135.0,125.0,74.0741,125.0,0,1,0,19.1429,0.431,1.0,2.2857,0.479,2,6,32,0,0,0,4,1,3,0,8,Orthodox,170.18,172.72,145,0,2,0,46.3333,0.457,0.0,0.6667,0.5,2,2,16,0,0,1,1,2,0,0,4,Orthodox,172.72,180.34,145,7.0,9.0,6.0,10.0,0,0,1.0
Benson Henderson,Rafael Dos Anjos,2014-08-23,"Tulsa, Oklahoma, USA", USA,Lightweight,MALE,5,0,Blue,-510.0,440.0,19.6078,440.0,0,2,0,58.7,0.464,0.9,2.6,0.502,7,1,39,5,0,3,5,0,1,0,9,Southpaw,175.26,177.8,170,0,1,0,31.2667,0.381,0.8,1.8667,0.322,5,5,39,0,0,0,6,2,2,0,10,Southpaw,172.72,177.8,170,1.0,5.0,13.0,10.0,1,1,0.0
Mike Pyle,Jordan Mein,2014-08-23,"Tulsa, Oklahoma, USA", USA,Welterweight,MALE,3,0,Blue,245.0,-265.0,245.0,37.7358,0,1,0,21.4615,0.407,0.8462,1.1538,0.272,4,4,26,0,0,1,2,4,2,0,9,Orthodox,182.88,187.96,170,0,1,0,33.0,0.497,0.0,1.3333,0.333,1,1,6,0,0,1,0,1,0,0,2,Orthodox,182.88,185.42,170,13.0,9.0,6.0,10.0,0,0,0.0
Francis Carmont,Thales Leites,2014-08-23,"Tulsa, Oklahoma, USA", USA,Middleweight,MALE,3,0,Blue,-210.0,190.0,47.619,190.0,2,0,0,25.75,0.464,0.625,1.625,0.366,6,2,22,0,0,1,3,0,2,0,6,Orthodox,190.5,198.12,205,0,3,0,21.7273,0.408,1.1818,2.0909,0.335,5,3,27,1,0,1,3,1,3,0,8,Orthodox,185.42,198.12,185,12.0,15.0,6.0,10.0,0,0,0.0
Max Holloway,Clay Collard,2014-08-23,"Tulsa, Oklahoma, USA", USA,Catch Weight,MALE,3,0,Red,-950.0,625.0,10.5263,625.0,0,2,0,62.125,0.364,0.25,0.0,0.0,3,3,20,0,0,1,1,2,1,0,5,Orthodox,180.34,175.26,155,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,145,7.0,9.0,6.0,10.0,0,0,1.0
James Vick,Valmir Lazaro,2014-08-23,"Tulsa, Oklahoma, USA", USA,Lightweight,MALE,3,0,Red,-125.0,115.0,80.0,115.0,0,1,0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,190.5,193.04,155,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,155,7.0,9.0,6.0,10.0,0,0,1.0
Chas Skelly,Tom Niinimaki,2014-08-23,"Tulsa, Oklahoma, USA", USA,Featherweight,MALE,3,0,Red,145.0,-155.0,145.0,64.5161,1,0,0,19.0,0.22,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,145,1,0,0,12.0,0.625,0.0,3.0,0.47,1,1,4,0,0,1,0,0,0,0,1,Orthodox,175.26,175.26,145,7.0,9.0,6.0,10.0,0,0,1.0
Neil Magny,Alex Garcia,2014-08-23,"Tulsa, Oklahoma, USA", USA,Welterweight,MALE,3,0,Red,135.0,-145.0,135.0,68.9655,0,3,0,38.8333,0.413,0.0,2.1667,0.507,3,2,15,0,0,0,3,1,0,0,4,Orthodox,190.5,203.2,170,0,2,0,35.0,0.525,0.0,4.0,0.36,2,0,4,0,0,1,0,1,0,0,2,Orthodox,175.26,182.88,170,7.0,9.0,6.0,10.0,0,0,1.0
Beneil Dariush,Anthony Rocco Martin,2014-08-23,"Tulsa, Oklahoma, USA", USA,Lightweight,MALE,3,0,Red,130.0,-140.0,130.0,71.4286,1,0,0,9.0,0.435,0.5,0.0,0.0,1,1,2,0,0,0,0,0,1,0,1,Southpaw,177.8,182.88,155,1,0,0,18.0,0.42,1.0,1.0,0.12,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,7.0,9.0,6.0,10.0,1,0,1.0
Aaron Phillips,Matt Hobar,2014-08-23,"Tulsa, Oklahoma, USA", USA,Bantamweight,MALE,3,0,Blue,145.0,-155.0,145.0,64.5161,1,0,0,18.0,0.45,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,135,1,0,0,7.0,0.25,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,135,7.0,9.0,6.0,10.0,1,1,0.0
Ben Saunders,Chris Heatherly,2014-08-23,"Tulsa, Oklahoma, USA", USA,Welterweight,MALE,3,0,Red,-385.0,345.0,25.974,345.0,2,0,0,26.7143,0.651,1.0,0.1429,0.143,3,3,15,0,0,0,1,2,1,0,4,Orthodox,187.96,195.58,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,155,7.0,9.0,6.0,10.0,0,0,1.0
Wilson Reis,Joby Sanchez,2014-08-23,"Tulsa, Oklahoma, USA", USA,Flyweight,MALE,3,0,Red,-335.0,305.0,29.8507,305.0,1,0,0,28.0,0.355,0.0,3.5,0.54,1,1,6,0,0,0,1,0,0,0,1,Southpaw,162.56,165.1,125,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,7.0,9.0,6.0,10.0,1,0,1.0
Tyron Woodley,Dong Hyun Kim,2014-08-23,"Macau, China", China,Welterweight,MALE,3,0,Red,-210.0,190.0,47.619,190.0,1,0,0,27.4,0.55,0.0,0.6,0.2,2,2,10,0,0,0,0,3,0,0,3,Orthodox,175.26,187.96,170,0,4,0,25.4615,0.511,0.5385,2.4615,0.507,4,3,34,0,0,1,6,3,0,0,10,Southpaw,187.96,193.04,170,4.0,10.0,6.0,10.0,0,1,1.0
Zhang Lipeng,Brendan O'Reilly,2014-08-23,"Macau, China", China,Lightweight,MALE,3,0,Red,140.0,-150.0,140.0,66.6667,0,1,0,10.0,0.4,2.0,4.0,0.4,1,0,3,1,0,1,0,0,0,0,1,Southpaw,180.34,180.34,155,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,170,7.0,9.0,6.0,10.0,1,0,1.0
Ning Guangyou,Jianping Yang,2014-08-23,"Macau, China", China,Featherweight,MALE,4,1,Red,205.0,-225.0,205.0,44.4444,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Southpaw,162.56,162.56,145,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,145,7.0,9.0,6.0,10.0,1,0,1.0
Alberto Mina,Shinsho Anzai,2014-08-23,"Macau, China", China,Welterweight,MALE,3,0,Red,-225.0,205.0,44.4444,205.0,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,195.58,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,170,7.0,9.0,6.0,10.0,0,0,1.0
Roland Delorme,Ulka Sasaki,2014-08-23,"Macau, China", China,Bantamweight,MALE,3,0,Blue,130.0,-140.0,130.0,71.4286,2,0,0,24.8333,0.42,1.1667,1.8333,0.375,2,3,14,0,0,0,1,0,2,0,3,Orthodox,175.26,180.34,135,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,125,7.0,9.0,6.0,10.0,0,1,0.0
An Ying Wang,Colby Covington,2014-08-23,"Macau, China", China,Welterweight,MALE,3,0,Blue,380.0,-430.0,380.0,23.2558,0,1,0,13.0,0.28,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,1,Orthodox,182.88,182.88,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,7.0,9.0,6.0,10.0,0,0,0.0
Yao Zhikui,Royston Wee,2014-08-23,"Macau, China", China,Bantamweight,MALE,3,0,Blue,200.0,-220.0,200.0,45.4545,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,125,0,1,0,8.0,0.66,0.0,6.0,0.85,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,170.18,135,7.0,9.0,6.0,10.0,0,0,0.0
Elizabeth Phillips,Milana Dudieva,2014-08-23,"Macau, China", China,Women's Bantamweight,FEMALE,3,0,Blue,130.0,-150.0,130.0,66.6667,1,0,0,67.0,0.24,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,154.94,135,7.0,9.0,6.0,10.0,0,0,0.0
Michael Bisping,Cung Le,2014-08-23,"Macau, China", China,Middleweight,MALE,5,0,Red,-235.0,215.0,42.5532,215.0,1,0,0,49.35,0.401,0.25,1.3,0.334,4,6,50,1,0,1,5,8,0,0,14,Orthodox,185.42,190.5,185,0,2,0,31.6667,0.457,0.0,0.6667,0.333,2,1,6,0,0,0,1,1,0,0,2,Southpaw,175.26,175.26,185,8.0,9.0,6.0,10.0,0,1,1.0
Sai Wang,Danny Mitchell,2014-08-23,"Macau, China", China,Welterweight,MALE,3,0,Red,175.0,-190.0,175.0,52.6316,1,0,0,31.0,0.39,0.0,0.0,0.0,0,1,3,1,0,0,0,0,0,0,0,Southpaw,182.88,182.88,170,1,0,0,18.0,0.52,5.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,170,7.0,9.0,6.0,10.0,1,0,1.0
Bethe Correia,Shayna Baszler,2014-08-30,"Sacramento, California, USA", USA,Women's Bantamweight,FEMALE,3,0,Red,-145.0,135.0,68.9655,135.0,0,2,0,78.0,0.515,0.0,0.5,0.125,2,0,6,0,0,1,1,0,0,0,2,Orthodox,165.1,162.56,135,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,10.0,9.0,6.0,10.0,0,0,1.0
Tj Dillashaw,Joe Soto,2014-08-30,"Sacramento, California, USA", USA,Bantamweight,MALE,5,1,Red,-1100.0,900.0,9.0909,900.0,0,2,0,53.375,0.404,1.375,1.5,0.371,4,2,19,2,0,0,2,3,1,0,6,Orthodox,167.64,170.18,125,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,0.0,9.0,11.0,10.0,0,0,1.0
Tony Ferguson,Danny Castillo,2014-08-30,"Sacramento, California, USA", USA,Lightweight,MALE,3,0,Red,-265.0,245.0,37.7358,245.0,0,2,0,33.5,0.387,0.5,0.6667,0.36,3,1,10,1,0,0,1,2,1,1,5,Orthodox,180.34,193.04,155,0,1,0,33.5,0.529,0.2,2.7,0.387,3,3,26,0,0,1,4,2,0,0,7,Orthodox,175.26,180.34,155,7.0,9.0,6.0,10.0,0,0,1.0
Yancy Medeiros,Damon Jackson,2014-08-30,"Sacramento, California, USA", USA,Lightweight,MALE,3,0,Red,-115.0,105.0,86.9565,105.0,3,0,0,12.6667,0.303,0.0,0.0,0.0,0,3,3,0,0,0,0,0,0,0,0,Orthodox,177.8,190.5,155,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Switch,180.34,180.34,145,7.0,9.0,6.0,10.0,0,2,1.0
Lorenz Larkin,Derek Brunson,2014-08-30,"Sacramento, California, USA", USA,Middleweight,MALE,3,0,Blue,145.0,-165.0,145.0,60.6061,2,0,0,33.25,0.41,0.0,0.0,0.0,1,3,10,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,1,0,0,26.6667,0.403,0.6667,2.3333,0.3,2,1,7,0,0,0,1,0,1,0,2,Southpaw,185.42,195.58,185,7.0,9.0,6.0,10.0,0,1,0.0
Ruan Potts,Anthony Hamilton,2014-08-30,"Sacramento, California, USA", USA,Heavyweight,MALE,3,0,Blue,205.0,-225.0,205.0,44.4444,1,0,0,0.0,0.0,2.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,247,1,0,0,6.0,0.42,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,195.58,193.04,260,7.0,9.0,6.0,10.0,0,0,0.0
Chris Wade,Cain Carrizosa,2014-08-30,"Sacramento, California, USA", USA,Lightweight,MALE,3,0,Red,-155.0,135.0,64.5161,135.0,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,187.96,155,7.0,9.0,6.0,10.0,0,0,1.0
Ramsey Nijem,Diego Ferreira,2014-08-30,"Sacramento, California, USA", USA,Lightweight,MALE,3,0,Blue,170.0,-185.0,170.0,54.0541,0,2,0,26.375,0.373,0.75,2.75,0.576,3,3,15,1,0,0,3,2,0,0,5,Orthodox,180.34,190.5,155,0,1,0,7.0,0.7,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,175.26,187.96,155,7.0,9.0,6.0,10.0,0,0,0.0
Jacare Souza,Gegard Mousasi,2014-09-05,"Ledyard, Connecticut, USA", USA,Middleweight,MALE,5,0,Red,-185.0,170.0,54.0541,170.0,0,3,0,17.3333,0.473,1.3333,1.0,0.277,3,0,5,0,0,0,1,1,1,0,3,Orthodox,185.42,182.88,185,0,1,0,44.6667,0.493,0.6667,0.0,0.0,1,1,9,0,0,0,1,0,1,0,2,Orthodox,187.96,193.04,185,7.0,7.0,6.0,10.0,0,0,1.0
Alistair Overeem,Ben Rothwell,2014-09-05,"Ledyard, Connecticut, USA", USA,Heavyweight,MALE,3,0,Blue,-330.0,300.0,30.303,300.0,0,1,0,43.25,0.738,0.0,0.25,0.25,1,2,8,0,0,0,1,1,0,0,2,Orthodox,193.04,203.2,265,0,1,0,23.6667,0.43,0.3333,1.1667,0.142,1,3,14,0,0,0,1,2,0,0,3,Orthodox,193.04,198.12,265,7.0,9.0,6.0,10.0,0,0,0.0
Matt Mitrione,Derrick Lewis,2014-09-05,"Ledyard, Connecticut, USA", USA,Heavyweight,MALE,3,0,Red,116.0,-126.0,116.0,79.3651,0,1,0,25.9,0.536,0.4,0.0,0.0,5,3,17,0,0,0,1,6,0,0,7,Switch,190.5,200.66,265,0,2,0,14.0,0.59,0.0,1.0,0.75,2,0,2,0,0,0,0,2,0,0,2,Orthodox,190.5,200.66,260,7.0,9.0,6.0,10.0,2,0,1.0
Joe Lauzon,Michael Chiesa,2014-09-05,"Ledyard, Connecticut, USA", USA,Lightweight,MALE,3,0,Red,190.0,-210.0,190.0,47.619,0,1,0,17.4375,0.417,1.625,1.3125,0.42,3,6,31,0,0,0,1,2,7,0,10,Orthodox,177.8,180.34,155,0,2,0,12.8,0.356,1.0,1.4,0.342,2,1,10,1,0,0,1,0,3,0,4,Southpaw,185.42,190.5,170,7.0,9.0,6.0,10.0,0,1,1.0
Al Iaquinta,Rodrigo Damm,2014-09-05,"Ledyard, Connecticut, USA", USA,Lightweight,MALE,3,0,Red,-600.0,500.0,16.6667,500.0,1,0,0,47.0,0.492,0.6,1.4,0.45,3,2,12,1,0,0,3,0,0,0,3,Orthodox,177.8,177.8,155,1,0,0,48.4,0.408,0.4,0.6,0.256,2,2,13,0,0,1,1,0,1,0,3,Orthodox,170.18,180.34,155,7.0,9.0,6.0,10.0,0,0,1.0
Rafael Natal,Chris Camozzi,2014-09-05,"Ledyard, Connecticut, USA", USA,Middleweight,MALE,3,0,Red,-185.0,170.0,54.0541,170.0,2,0,0,37.3,0.479,0.7,2.1,0.293,3,5,27,0,0,0,4,0,1,0,5,Orthodox,182.88,193.04,185,3,0,0,46.4545,0.435,0.3636,0.0,0.0,4,5,29,0,0,2,2,0,1,1,6,Orthodox,187.96,193.04,185,7.0,9.0,6.0,10.0,0,0,1.0
Chris Beal,Tateki Matsuda,2014-09-05,"Ledyard, Connecticut, USA", USA,Bantamweight,MALE,3,0,Red,-500.0,435.0,20.0,435.0,0,1,0,19.0,0.38,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,170.18,175.26,125,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,7.0,9.0,6.0,10.0,0,0,1.0
Sean Soriano,Chas Skelly,2014-09-05,"Ledyard, Connecticut, USA", USA,Featherweight,MALE,3,0,Blue,170.0,-185.0,170.0,54.0541,1,0,0,19.0,0.73,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,145,0,1,0,10.5,0.2,0.5,0.5,0.5,1,1,4,0,0,0,0,0,1,0,1,Orthodox,180.34,182.88,145,7.0,9.0,6.0,10.0,0,0,0.0
John Moraga,Justin Scoggins,2014-09-05,"Ledyard, Connecticut, USA", USA,Flyweight,MALE,3,0,Red,230.0,-250.0,230.0,40.0,1,0,0,28.6,0.378,0.4,0.6,0.24,2,2,14,1,0,1,0,1,1,0,3,Orthodox,167.64,167.64,125,1,0,0,37.3333,0.65,1.0,4.3333,0.627,2,1,7,0,0,0,1,1,0,0,2,Southpaw,170.18,167.64,125,5.0,9.0,6.0,10.0,0,1,1.0
Santiago Ponzinibbio,Wendell Oliveira,2014-09-13,"Brasilia, Distrito Federal, Brazil", Brazil,Welterweight,MALE,3,0,Red,-105.0,-105.0,95.2381,95.2381,1,0,0,25.0,0.3,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,7.0,9.0,6.0,10.0,0,0,1.0
Antonio Silva,Andrei Arlovski,2014-09-13,"Brasilia, Distrito Federal, Brazil", Brazil,Heavyweight,MALE,5,0,Blue,-430.0,380.0,23.2558,380.0,2,0,0,27.0,0.506,0.0,0.0,0.0,2,3,11,1,0,0,0,2,0,0,2,Orthodox,193.04,203.2,264,0,4,0,20.2,0.437,0.3333,0.1333,0.133,6,4,29,5,0,1,1,7,2,0,11,Orthodox,190.5,195.58,240,4.0,14.0,6.0,10.0,0,0,0.0
Gleison Tibau,Piotr Hallmann,2014-09-13,"Brasilia, Distrito Federal, Brazil", Brazil,Lightweight,MALE,3,0,Red,-235.0,215.0,42.5532,215.0,0,1,0,22.6364,0.357,0.7273,3.4091,0.544,3,8,55,0,0,3,6,1,4,0,14,Southpaw,177.8,180.34,155,0,1,0,54.6667,0.447,0.6667,3.0,0.563,1,1,8,0,0,0,0,0,2,0,2,Orthodox,175.26,180.34,155,7.0,9.0,6.0,10.0,1,0,1.0
Leonardo Santos,Efrain Escudero,2014-09-13,"Brasilia, Distrito Federal, Brazil", Brazil,Lightweight,MALE,3,0,Red,-210.0,190.0,47.619,190.0,1,0,0,24.0,0.41,0.5,0.5,0.07,1,1,5,1,0,0,0,0,1,0,1,Orthodox,182.88,190.5,155,3,0,0,29.0,0.367,1.0,1.1429,0.267,2,4,19,1,0,0,2,1,0,0,3,Orthodox,175.26,177.8,155,7.0,9.0,6.0,10.0,0,0,1.0
